"Adrian";9;4;7;10;
"Andrew";9;3;4;7;
"Angelina";10;6;5;9;
"Anthony";2;8;8;3;
"Arthur";10;4;2;5;
"Bellatrix";10;4;9;9;
"Bole";7;4;6;10;
"Colin";10;7;4;7;
"Cormac";9;6;5;4;
"Dean";9;8;4;7;
"Demelza";10;6;5;3;
"Derrick";5;4;6;5;
"Eddie";5;7;10;3;
"Ernie";4;8;7;4;
"Euan";9;2;7;4;
"Gilderoy";7;9;9;9;
"Gregory";6;9;7;8;
"Hannah";8;10;2;4;
"Harper";6;3;5;10;
"Jimmy";9;9;9;10;
"Justin";5;10;7;10;
"Katie";10;2;3;9;
"Lavande";10;8;8;6;
"Lee";10;2;2;8;
"Luna";2;9;9;2;
"Marcus";6;5;8;10;
"Marietta";10;8;10;9;
"Michael";4;2;6;5;
"Milicent";9;3;5;6;
"Mimi";4;4;9;10;
"Montague";5;7;2;10;
"Neville";10;5;6;4;
"Norbert";3;10;7;6;
"Nymphadora";2;5;3;8;
"Padma";6;6;6;9;
"Paenny";2;8;9;8;
"Pansy";4;4;10;8;
"Parvati";10;5;2;6;
"Pomona";5;10;7;8;
"Quirinus";7;10;10;2;
"Roger";9;10;10;8;
"Romilda";10;6;2;9;
"Saemus";7;4;8;3;
"Sirius";10;8;10;7;
"Susan";5;6;5;5;
"Susan";4;10;10;5;
"Ted";5;9;8;4;
"Tarence";6;9;2;8;
"Terry";8;4;10;5;
"Vincent";4;9;2;10;
